order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
658,9,54,Pasta Alfredo,2023-08-16,23:59:58,Completed,314
111,11,15,Chicken Biryani,2023-03-03,23:59:48,Completed,411
8481,5,8,Masala Dosa,2023-08-05,23:59:48,Completed,200
4634,17,58,Chicken Shawarma,2023-03-08,23:59:42,Completed,259
8699,7,22,Samosa,2023-11-28,23:59:39,Completed,201
2031,12,53,Burger,2023-08-24,23:59:38,Completed,252
2844,15,27,Mutton Rogan Josh,2023-03-05,23:59:32,Completed,340
4074,18,27,Paneer Butter Masala,2023-01-11,23:59:15,Completed,317
3060,1,29,Pasta Alfredo,2023-09-04,23:58:52,Completed,422
8260,7,5,Paneer Lababdar,2023-12-31,23:58:33,Completed,332
2359,13,28,Masala Dosa,2023-06-28,23:58:17,Completed,529
4928,22,42,Mutton Biryani,2023-10-21,23:58:07,Completed,263
228,1,14,Egg Curry,2023-05-06,23:58:06,Completed,304
1325,13,45,Prawn Masala,2023-06-28,23:58:05,Completed,266
6422,18,46,Chole Bhature,2023-09-10,23:57:58,Completed,508
4938,19,15,Chicken Shawarma,2023-10-14,23:57:56,Completed,309
3439,9,37,Prawn Masala,2023-04-14,23:57:32,Completed,207
3939,17,16,Masala Dosa,2023-05-24,23:57:32,Completed,324
2416,6,20,Mutton Biryani,2023-01-10,23:57:30,Completed,298
7023,5,56,Masala Dosa,2023-01-23,23:57:28,Completed,269
5889,22,50,Paneer Lababdar,2023-07-07,23:57:27,Completed,331
8831,7,25,Paneer Lababdar,2023-08-04,23:57:21,Completed,546
7514,6,25,Mutton Biryani,2023-03-03,23:56:57,Completed,556
4113,16,29,Prawn Masala,2023-11-02,23:56:56,Completed,210
1111,7,5,Samosa,2023-04-28,23:56:51,Completed,259
4992,19,4,Prawn Masala,2023-04-18,23:56:49,Completed,479
9301,9,44,Dal Makhani,2023-11-26,23:56:35,Completed,461
9206,9,19,Chole Bhature,2023-10-20,23:56:26,Completed,306
6239,15,32,Chicken Shawarma,2023-12-09,23:56:20,Completed,233
639,20,25,Paneer Butter Masala,2023-11-12,23:56:14,Completed,267
8823,8,21,Samosa,2023-11-14,23:56:11,Completed,702
1323,16,53,Mutton Biryani,2023-05-30,23:56:07,Completed,313
5140,19,39,Paneer Butter Masala,2023-03-03,23:56:04,Completed,531
9337,8,11,Chicken Tikka,2023-03-25,23:56:01,Completed,231
4687,22,40,Hyderabadi Biryani,2023-02-21,23:55:57,Completed,362
3485,10,58,Fish Curry,2023-09-13,23:55:56,Not Fulfilled,246
7902,8,41,Paneer Tikka,2023-07-01,23:55:54,Completed,575
5770,18,4,Butter Chicken,2023-02-03,23:55:45,Completed,502
4344,19,42,Vegetable Fried Rice,2023-09-10,23:55:28,Completed,321
673,21,60,Butter Chicken,2023-02-08,23:55:25,Completed,324
4795,19,25,Butter Chicken,2023-09-12,23:55:16,Completed,491
983,8,3,Pasta Alfredo,2023-04-10,23:55:09,Completed,276
1661,4,57,Egg Curry,2023-08-25,23:55:03,Completed,327
6325,17,1,Paneer Butter Masala,2023-11-16,23:54:47,Completed,347
2376,5,58,Butter Chicken,2023-08-26,23:54:40,Completed,324
4839,15,13,Mutton Biryani,2023-03-06,23:54:10,Completed,329
9393,8,24,Samosa,2023-07-25,23:54:00,Completed,530
7679,5,47,Pasta Alfredo,2023-03-13,23:53:54,Completed,645
8717,9,41,Chicken Tikka,2023-11-16,23:53:51,Completed,327
9292,9,15,Hyderabadi Biryani,2023-04-11,23:53:39,Completed,337
6943,9,5,Mutton Biryani,2023-10-01,23:53:35,Completed,215
1278,17,50,Mutton Rogan Josh,2023-12-13,23:53:19,Completed,297
576,22,36,Chicken Biryani,2023-01-19,23:52:48,Completed,340
9705,6,38,Mutton Biryani,2023-08-14,23:52:41,Completed,635
171,19,37,Lamb Kebab,2023-12-06,23:52:35,Completed,546
8278,9,10,Mutton Biryani,2023-11-22,23:52:29,Completed,319
3399,1,27,Masala Dosa,2023-05-11,23:52:28,Completed,283
2361,21,48,Paneer Tikka,2023-02-10,23:52:09,Completed,469
4825,18,42,Chicken Shawarma,2023-05-01,23:52:00,Completed,323
6730,4,39,Paneer Butter Masala,2023-05-10,23:52:00,Completed,288
458,7,52,Masala Dosa,2023-12-17,23:51:47,Completed,252
3990,21,15,Grilled Chicken Sandwich,2023-03-02,23:51:35,Completed,261
6228,18,28,Pasta Alfredo,2023-08-22,23:51:28,Completed,609
4110,19,12,Paneer Butter Masala,2023-08-04,23:51:26,Completed,280
9993,23,37,Lamb Kebab,2023-03-26,23:51:13,Completed,213
9776,4,17,Samosa,2023-10-29,23:51:06,Completed,248
5374,17,42,Dal Makhani,2023-02-26,23:51:05,Completed,349
4840,19,3,Grilled Chicken Sandwich,2023-09-25,23:51:04,Completed,379
6597,4,19,Chole Bhature,2023-04-14,23:51:02,Completed,243
1722,11,56,Pasta Alfredo,2023-06-25,23:50:49,Completed,349
8197,8,24,Dal Makhani,2023-01-03,23:50:46,Completed,267
1874,11,59,Mutton Rogan Josh,2023-10-22,23:50:44,Completed,321
2005,19,31,Mutton Rogan Josh,2023-03-01,23:50:44,Completed,345
7147,8,59,Dal Makhani,2023-02-20,23:50:35,Completed,345
5345,16,6,Grilled Chicken Sandwich,2023-05-30,23:50:25,Completed,312
1921,10,30,Paneer Butter Masala,2023-10-18,23:50:15,Completed,337
760,3,6,Butter Chicken,2023-02-23,23:50:13,Completed,285
3817,13,10,Masala Dosa,2023-11-28,23:50:10,Completed,264
8418,9,6,Paneer Tikka,2023-12-14,23:50:08,Not Fulfilled,270
7832,8,36,Paneer Lababdar,2023-03-27,23:49:55,Completed,208
9937,8,59,Vegetable Fried Rice,2023-03-20,23:49:53,Completed,202
1588,8,58,Mutton Rogan Josh,2023-07-01,23:49:51,Completed,322
5005,22,17,Chicken Shawarma,2023-12-14,23:49:43,Completed,255
7111,6,46,Paneer Butter Masala,2023-11-18,23:49:33,Completed,292
2829,15,16,Egg Curry,2023-06-23,23:49:31,Completed,229
2540,13,35,Grilled Chicken Sandwich,2023-08-21,23:49:28,Completed,305
7789,6,20,Pasta Alfredo,2023-05-23,23:49:26,Completed,311
4492,15,60,Egg Curry,2023-12-20,23:49:25,Completed,233
3355,16,7,Chicken Biryani,2023-05-12,23:49:24,Completed,405
6174,18,39,Burger,2023-12-29,23:49:19,Completed,260
6588,9,45,Butter Chicken,2023-04-03,23:48:56,Completed,310
3642,18,2,Paneer Butter Masala,2023-10-02,23:48:46,Completed,348
2385,1,26,Paneer Tikka,2023-07-04,23:48:34,Completed,341
3488,17,53,Hyderabadi Biryani,2023-11-27,23:48:23,Completed,208
8100,8,23,Mutton Rogan Josh,2023-06-14,23:48:22,Completed,316
9570,8,4,Dal Makhani,2023-03-17,23:48:21,Completed,249
771,10,38,Paneer Butter Masala,2023-01-11,23:48:17,Completed,322
4629,16,42,Paneer Lababdar,2023-08-20,23:48:17,Completed,248
5882,16,48,Pasta Alfredo,2023-09-14,23:48:10,Completed,368
6893,7,14,Mutton Biryani,2023-09-17,23:48:08,Completed,268
3371,12,30,Paneer Butter Masala,2023-04-05,23:48:06,Completed,509
2217,6,7,Mutton Rogan Josh,2023-05-28,23:48:05,Completed,342
3954,16,11,Pasta Alfredo,2023-07-08,23:48:05,Completed,312
1498,7,19,Mutton Rogan Josh,2023-09-01,23:48:00,Completed,544
9460,5,6,Pizza,2023-10-14,23:47:36,Completed,610
564,7,5,Mutton Rogan Josh,2023-03-03,23:47:35,Completed,380
4591,16,11,Egg Curry,2023-01-30,23:47:28,Completed,221
7949,6,19,Mutton Biryani,2023-03-05,23:47:27,Completed,611
4392,21,18,Pasta Alfredo,2023-05-23,23:47:22,Completed,285
8613,9,13,Paneer Lababdar,2023-01-07,23:47:07,Completed,482
7542,5,22,Dal Makhani,2023-06-20,23:46:59,Completed,528
4090,21,15,Masala Dosa,2023-07-04,23:46:53,Completed,416
1942,19,48,Pasta Alfredo,2023-03-02,23:46:48,Completed,283
1441,15,45,Paneer Butter Masala,2023-10-31,23:46:40,Completed,270
2746,4,7,Mutton Biryani,2023-03-26,23:46:28,Completed,322
7870,9,23,Masala Dosa,2023-06-20,23:46:15,Completed,465
8959,9,25,Samosa,2023-08-22,23:46:15,Completed,205
3258,11,10,Fish Curry,2023-05-07,23:46:12,Not Fulfilled,266
4984,15,32,Masala Dosa,2023-10-16,23:45:51,Completed,455
6434,20,39,Paneer Butter Masala,2023-12-25,23:45:49,Completed,730
3697,4,2,Masala Dosa,2023-08-11,23:45:31,Completed,210
5179,21,33,Grilled Chicken Sandwich,2023-09-05,23:45:15,Completed,321
9927,5,10,Chicken Tikka,2023-01-24,23:45:15,Completed,559
